,complex_FB15k,complex_FB15k-237,complex_WN18,complex_WN18RR,conve_FB15k,conve_FB15k-237,conve_WN18,conve_WN18RR,transe_FB15k,transe_FB15k-237,transe_WN18,transe_WN18RR,AVG
criage,0.087,0.105,0.08,0.203,0.153,0.162,0.27,0.256,,,,,0.1645
DP,0.529,0.315,0.799,0.758,0.246,0.162,0.794,0.829,0.304,0.326,0.91,0.709,0.55675
k1,0.576,0.395,0.578,0.593,0.229,0.222,0.567,0.667,0.261,0.281,0.792,0.779,0.49499999999999994
kelpie,0.767,0.581,0.829,0.94,0.534,0.303,0.816,0.946,0.374,0.427,0.868,0.907,0.6909999999999998
AnyBurlAttack,0.547,0.29,0.829,0.764,0.237,0.212,0.929,0.915,0.365,0.213,0.938,0.779,0.5848333333333333
eXpath(011)1,0.314,0.29,0.834,0.747,0.153,0.253,0.496,0.504,0.261,0.315,0.653,0.663,0.4569166666666667
eXpath(101)1,0.529,0.226,0.834,0.764,,,0.929,0.891,0.304,,0.938,,0.676875
eXpath(110)1,0.5,0.331,0.834,0.753,0.263,0.313,0.929,0.915,0.304,0.315,0.938,0.698,0.5910833333333333
eXpath(100)1,0.523,0.194,0.834,0.775,0.195,0.192,0.929,0.915,0.252,0.236,0.938,0.698,0.55675
eXpath(011)4,0.622,0.597,0.92,0.94,0.381,0.505,0.801,0.907,0.435,0.551,0.847,0.942,0.7040000000000001
eXpath(101)4,0.733,0.492,0.905,0.912,0.415,0.354,0.972,0.977,0.435,0.438,0.972,0.965,0.7141666666666665
eXpath(110)4,0.802,0.621,0.92,0.912,0.585,0.545,0.965,0.992,0.522,0.551,0.979,0.977,0.7809166666666667
eXpath(100)4,0.738,0.444,0.905,0.901,0.508,0.303,0.965,0.984,0.522,0.461,0.979,0.965,0.7229166666666668
eXpath()1,0.529,0.403,0.834,0.797,0.254,0.303,0.936,0.876,0.313,0.382,0.938,0.593,0.5964999999999999
eXpath(h)1,0.517,0.371,0.834,0.797,0.28,0.253,0.929,0.891,0.278,0.281,0.938,0.756,0.59375
eXpath1,0.529,0.403,0.834,0.797,0.254,0.303,0.929,0.891,0.313,0.382,0.938,0.756,0.61075
eXpath()4,0.797,0.645,0.864,0.945,0.542,0.556,0.929,0.977,0.513,0.517,0.965,0.884,0.7611666666666669
eXpath(h)4,0.779,0.613,0.92,0.945,0.559,0.465,0.957,0.984,0.522,0.528,0.965,0.953,0.7658333333333333
eXpath(t)4,0.686,0.298,0.864,0.857,0.356,0.202,0.879,0.891,0.304,0.281,0.833,0.233,0.5569999999999999
eXpath4,0.797,0.645,0.92,0.945,0.542,0.556,0.957,0.984,0.513,0.517,0.965,0.953,0.7745000000000001
criage+eXpath1,0.541,0.403,0.839,0.819,0.305,0.374,0.936,0.891,,,,,0.6385000000000001
DP+eXpath1,0.57,0.492,0.859,0.813,0.331,0.384,0.936,0.946,0.374,0.472,0.944,0.814,0.66125
k1+eXpath1,0.657,0.532,0.859,0.835,0.364,0.384,0.929,0.915,0.417,0.472,0.944,0.884,0.6826666666666665
AnyBurlAttack+eXpath1,0.587,0.452,0.859,0.802,0.322,0.343,0.929,0.946,0.417,0.404,0.938,0.849,0.654
kelpie+eXpath4,0.831,0.734,0.935,0.989,0.661,0.586,0.965,0.984,0.591,0.64,0.972,0.965,0.8210833333333333
