,complex_FB15k,complex_FB15k-237,complex_WN18,complex_WN18RR,conve_FB15k,conve_FB15k-237,conve_WN18,conve_WN18RR,transe_FB15k,transe_FB15k-237,transe_WN18,transe_WN18RR,AVG
criage,0.145,0.208,0.111,0.279,0.167,0.217,0.31,0.349,,,,,0.22325
DP,0.542,0.167,0.798,0.791,0.312,0.348,0.761,0.857,0.27,0.385,0.925,1.0,0.5963333333333333
k1,0.518,0.208,0.475,0.488,0.167,0.348,0.394,0.54,0.189,0.385,0.746,0.8,0.43816666666666665
kelpie,0.723,0.5,0.747,0.907,0.521,0.304,0.704,0.937,0.243,0.462,0.776,1.0,0.652
AnyBurlAttack,0.602,0.333,0.808,0.802,0.271,0.348,0.944,0.937,0.27,0.308,0.985,1.0,0.634
eXpath(011)1,0.289,0.167,0.828,0.756,0.188,0.348,0.423,0.413,0.216,0.308,0.627,0.867,0.45249999999999996
eXpath(101)1,0.554,0.208,0.848,0.779,,,0.944,0.889,0.27,,0.985,,0.6846249999999999
eXpath(110)1,0.542,0.375,0.848,0.791,0.333,0.348,0.944,0.937,0.27,0.462,0.985,0.867,0.6418333333333334
eXpath(100)1,0.542,0.25,0.848,0.814,0.271,0.304,0.944,0.937,0.243,0.385,0.985,0.867,0.6158333333333333
eXpath(011)4,0.675,0.625,0.899,0.942,0.417,0.652,0.704,0.873,0.324,0.692,0.806,1.0,0.7174166666666667
eXpath(101)4,0.759,0.583,0.869,0.919,0.479,0.435,0.972,0.968,0.432,0.692,0.97,1.0,0.7565000000000001
eXpath(110)4,0.819,0.625,0.899,0.942,0.667,0.522,0.958,1.0,0.405,0.769,0.97,1.0,0.798
eXpath(100)4,0.759,0.583,0.889,0.919,0.625,0.348,0.958,0.984,0.486,0.692,0.97,1.0,0.76775
eXpath()1,0.578,0.333,0.848,0.837,0.292,0.391,0.958,0.889,0.297,0.462,0.985,0.8,0.6391666666666667
eXpath(h)1,0.542,0.208,0.848,0.826,0.354,0.217,0.944,0.889,0.216,0.308,0.985,0.867,0.6003333333333334
eXpath1,0.578,0.333,0.848,0.826,0.292,0.391,0.944,0.889,0.297,0.462,0.985,0.867,0.6426666666666666
eXpath()4,0.795,0.708,0.879,0.965,0.667,0.652,0.944,1.0,0.432,0.692,0.985,0.933,0.8043333333333335
eXpath(h)4,0.735,0.458,0.899,0.977,0.667,0.435,0.944,0.984,0.405,0.538,0.955,1.0,0.74975
eXpath(t)4,0.663,0.583,0.869,0.919,0.417,0.522,0.873,0.937,0.297,0.538,0.866,0.533,0.6680833333333333
eXpath4,0.795,0.708,0.899,0.977,0.667,0.652,0.944,0.984,0.432,0.692,0.955,1.0,0.80875
criage+eXpath1,0.602,0.417,0.859,0.86,0.333,0.391,0.944,0.905,,,,,0.6638750000000001
DP+eXpath1,0.614,0.292,0.869,0.849,0.396,0.478,0.944,0.968,0.351,0.462,0.985,1.0,0.6839999999999998
k1+eXpath1,0.627,0.333,0.859,0.849,0.333,0.478,0.944,0.905,0.351,0.462,0.97,0.933,0.6703333333333333
AnyBurlAttack+eXpath1,0.639,0.458,0.859,0.837,0.375,0.478,0.944,0.968,0.378,0.462,0.985,1.0,0.6985833333333332
kelpie+eXpath4,0.819,0.75,0.899,1.0,0.688,0.652,0.944,0.984,0.432,0.769,0.955,1.0,0.8243333333333333
