,complex_FB15k,complex_FB15k-237,complex_WN18,complex_WN18RR,conve_FB15k,conve_FB15k-237,conve_WN18,conve_WN18RR,transe_FB15k,transe_FB15k-237,transe_WN18,transe_WN18RR,AVG
criage,0.034,0.08,0.05,0.135,0.143,0.145,0.229,0.167,,,,,0.12287500000000001
DP,0.517,0.35,0.8,0.729,0.2,0.105,0.829,0.803,0.321,0.316,0.896,0.648,0.5428333333333333
k1,0.629,0.44,0.68,0.688,0.271,0.184,0.743,0.788,0.295,0.263,0.831,0.775,0.5489166666666666
kelpie,0.809,0.6,0.91,0.969,0.543,0.303,0.929,0.955,0.436,0.421,0.948,0.887,0.7258333333333334
AnyBurlAttack,0.494,0.28,0.85,0.729,0.214,0.171,0.914,0.894,0.41,0.197,0.896,0.732,0.5650833333333334
eXpath(011)1,0.337,0.32,0.84,0.74,0.129,0.224,0.571,0.591,0.282,0.316,0.675,0.62,0.4704166666666667
eXpath(101)1,0.506,0.23,0.82,0.75,,,0.914,0.894,0.321,,0.896,,0.6663749999999999
eXpath(110)1,0.461,0.32,0.82,0.719,0.214,0.303,0.914,0.894,0.321,0.289,0.896,0.662,0.5677499999999999
eXpath(100)1,0.506,0.18,0.82,0.74,0.143,0.158,0.914,0.894,0.256,0.211,0.896,0.662,0.5316666666666666
eXpath(011)4,0.573,0.59,0.94,0.938,0.357,0.461,0.9,0.939,0.487,0.526,0.883,0.93,0.7103333333333333
eXpath(101)4,0.708,0.47,0.94,0.906,0.371,0.329,0.971,0.985,0.436,0.395,0.974,0.958,0.7035833333333334
eXpath(110)4,0.787,0.62,0.94,0.885,0.529,0.553,0.971,0.985,0.577,0.513,0.987,0.972,0.7765833333333333
eXpath(100)4,0.719,0.41,0.92,0.885,0.429,0.289,0.971,0.985,0.538,0.421,0.987,0.958,0.7093333333333334
eXpath()1,0.483,0.42,0.82,0.76,0.229,0.276,0.914,0.864,0.321,0.368,0.896,0.549,0.5750000000000001
eXpath(h)1,0.494,0.41,0.82,0.771,0.229,0.263,0.914,0.894,0.308,0.276,0.896,0.732,0.5839166666666666
eXpath1,0.483,0.42,0.82,0.771,0.229,0.276,0.914,0.894,0.321,0.368,0.896,0.732,0.5936666666666667
eXpath()4,0.798,0.63,0.85,0.927,0.457,0.526,0.914,0.955,0.551,0.487,0.948,0.873,0.7429999999999999
eXpath(h)4,0.82,0.65,0.94,0.917,0.486,0.474,0.971,0.985,0.577,0.526,0.974,0.944,0.7719999999999999
eXpath(t)4,0.708,0.23,0.86,0.802,0.314,0.105,0.886,0.848,0.308,0.237,0.805,0.169,0.5226666666666666
eXpath4,0.798,0.63,0.94,0.917,0.457,0.526,0.971,0.985,0.551,0.487,0.974,0.944,0.765
criage+eXpath1,0.483,0.4,0.82,0.781,0.286,0.368,0.929,0.879,,,,,0.61825
DP+eXpath1,0.528,0.54,0.85,0.781,0.286,0.355,0.929,0.924,0.385,0.474,0.909,0.775,0.6446666666666667
k1+eXpath1,0.685,0.58,0.86,0.823,0.386,0.355,0.914,0.924,0.449,0.474,0.922,0.873,0.6870833333333333
AnyBurlAttack+eXpath1,0.539,0.45,0.86,0.771,0.286,0.303,0.914,0.924,0.436,0.395,0.896,0.817,0.6325833333333334
kelpie+eXpath4,0.843,0.73,0.97,0.979,0.643,0.566,0.986,0.985,0.667,0.618,0.987,0.958,0.8276666666666667
