,complex_FB15k,complex_FB15k-237,complex_WN18,complex_WN18RR,conve_FB15k,conve_FB15k-237,conve_WN18,conve_WN18RR,transe_FB15k,transe_FB15k-237,transe_WN18,transe_WN18RR,AVG
criage,0.045,0.051,0.058,0.163,0.024,0.031,0.157,0.15,0.0,0.0,0.0,0.0,0.05658333333333334
DP,0.451,0.187,0.729,0.668,0.14,0.058,0.728,0.785,0.157,0.141,0.864,0.613,0.46008333333333323
k1,0.457,0.238,0.491,0.483,0.123,0.076,0.514,0.578,0.075,0.115,0.7,0.664,0.3761666666666667
kelpie,0.632,0.434,0.777,0.891,0.391,0.143,0.795,0.919,0.203,0.199,0.805,0.893,0.5901666666666666
AnyBurlAttack,0.463,0.172,0.766,0.684,0.159,0.104,0.889,0.853,0.19,0.091,0.877,0.659,0.49225
eXpath(011)1,0.278,0.189,0.757,0.662,0.086,0.128,0.453,0.421,0.104,0.154,0.531,0.573,0.36133333333333334
eXpath(101)1,0.441,0.152,0.774,0.687,,,0.889,0.81,0.142,,0.877,,0.5965
eXpath(110)1,0.436,0.209,0.774,0.674,0.149,0.14,0.889,0.853,0.162,0.15,0.877,0.561,0.48950000000000005
eXpath(100)1,0.434,0.134,0.774,0.687,0.16,0.038,0.889,0.853,0.154,0.105,0.877,0.55,0.47125
eXpath(011)4,0.476,0.42,0.878,0.878,0.198,0.295,0.71,0.829,0.186,0.279,0.797,0.932,0.5731666666666667
eXpath(101)4,0.624,0.352,0.861,0.858,0.301,0.199,0.939,0.939,0.298,0.209,0.94,0.951,0.6225833333333333
eXpath(110)4,0.682,0.411,0.862,0.86,0.401,0.34,0.935,0.963,0.356,0.26,0.949,0.93,0.6624166666666667
eXpath(100)4,0.628,0.301,0.835,0.836,0.338,0.15,0.926,0.953,0.335,0.176,0.941,0.932,0.6125833333333334
eXpath()1,0.43,0.219,0.774,0.701,0.149,0.13,0.869,0.827,0.159,0.145,0.877,0.412,0.4743333333333333
eXpath(h)1,0.435,0.243,0.774,0.688,0.167,0.104,0.889,0.81,0.148,0.144,0.877,0.592,0.4892499999999999
eXpath1,0.43,0.219,0.774,0.688,0.149,0.13,0.889,0.81,0.159,0.145,0.877,0.592,0.48849999999999993
eXpath()4,0.68,0.452,0.807,0.88,0.366,0.327,0.901,0.939,0.354,0.261,0.916,0.826,0.6424166666666667
eXpath(h)4,0.657,0.441,0.875,0.887,0.367,0.301,0.924,0.952,0.35,0.277,0.937,0.943,0.65925
eXpath(t)4,0.598,0.22,0.802,0.788,0.246,0.051,0.84,0.84,0.154,0.116,0.778,0.09,0.46025
eXpath4,0.68,0.452,0.875,0.887,0.366,0.327,0.924,0.952,0.354,0.261,0.937,0.943,0.6631666666666667
criage+eXpath1,0.443,0.236,0.777,0.711,0.18,0.185,0.892,0.814,,,,,0.5297499999999999
DP+eXpath1,0.491,0.282,0.803,0.711,0.228,0.211,0.9,0.893,0.239,0.252,0.891,0.675,0.5479999999999999
k1+eXpath1,0.534,0.309,0.795,0.718,0.233,0.206,0.895,0.848,0.225,0.239,0.893,0.734,0.5524166666666667
AnyBurlAttack+eXpath1,0.495,0.262,0.799,0.712,0.226,0.215,0.889,0.883,0.261,0.223,0.877,0.723,0.5470833333333333
kelpie+eXpath4,0.716,0.528,0.898,0.941,0.47,0.371,0.942,0.964,0.4,0.361,0.948,0.959,0.7081666666666666
