,complex_FB15k,complex_FB15k-237,complex_WN18,complex_WN18RR,conve_FB15k,conve_FB15k-237,conve_WN18,conve_WN18RR,transe_FB15k,transe_FB15k-237,transe_WN18,transe_WN18RR,AVG
criage,0.009,0.043,0.044,0.126,0.001,0.028,0.127,0.095,0.0,0.0,0.0,0.0,0.03941666666666666
DP,0.432,0.19,0.741,0.647,0.112,0.018,0.712,0.773,0.191,0.145,0.856,0.544,0.4467499999999999
k1,0.466,0.246,0.53,0.532,0.129,0.056,0.569,0.634,0.12,0.107,0.703,0.632,0.39366666666666666
kelpie,0.652,0.419,0.826,0.911,0.391,0.152,0.857,0.922,0.249,0.19,0.849,0.864,0.6068333333333333
AnyBurlAttack,0.424,0.153,0.791,0.662,0.146,0.063,0.887,0.837,0.244,0.072,0.851,0.585,0.47625
eXpath(011)1,0.287,0.196,0.778,0.653,0.071,0.101,0.453,0.446,0.152,0.162,0.523,0.519,0.36175
eXpath(101)1,0.428,0.154,0.781,0.671,,,0.887,0.805,0.189,,0.851,,0.59575
eXpath(110)1,0.418,0.203,0.781,0.653,0.101,0.137,0.887,0.837,0.203,0.148,0.851,0.503,0.4768333333333334
eXpath(100)1,0.427,0.123,0.781,0.664,0.127,0.047,0.887,0.837,0.189,0.084,0.851,0.494,0.45924999999999994
eXpath(011)4,0.458,0.378,0.901,0.87,0.153,0.248,0.737,0.849,0.234,0.252,0.804,0.915,0.5665833333333333
eXpath(101)4,0.606,0.307,0.887,0.847,0.27,0.163,0.954,0.936,0.312,0.166,0.941,0.943,0.6110000000000001
eXpath(110)4,0.667,0.383,0.878,0.838,0.353,0.317,0.944,0.962,0.371,0.227,0.958,0.912,0.6508333333333333
eXpath(100)4,0.615,0.258,0.847,0.819,0.289,0.13,0.932,0.949,0.339,0.156,0.953,0.913,0.6
eXpath()1,0.406,0.22,0.781,0.681,0.13,0.121,0.87,0.8,0.198,0.14,0.851,0.381,0.4649166666666667
eXpath(h)1,0.412,0.256,0.781,0.67,0.119,0.104,0.887,0.805,0.199,0.151,0.851,0.544,0.4815833333333333
eXpath1,0.406,0.22,0.781,0.67,0.13,0.121,0.887,0.805,0.198,0.14,0.851,0.544,0.47941666666666666
eXpath()4,0.668,0.411,0.806,0.859,0.306,0.275,0.886,0.922,0.38,0.234,0.893,0.806,0.6204999999999999
eXpath(h)4,0.673,0.441,0.891,0.87,0.316,0.277,0.928,0.95,0.387,0.264,0.94,0.928,0.6554166666666668
eXpath(t)4,0.605,0.141,0.81,0.748,0.203,-0.005,0.835,0.791,0.2,0.082,0.75,0.062,0.4351666666666667
eXpath4,0.668,0.411,0.891,0.87,0.306,0.275,0.928,0.95,0.38,0.234,0.94,0.928,0.6484166666666666
criage+eXpath1,0.406,0.217,0.781,0.687,0.153,0.169,0.893,0.805,,,,,0.5138750000000001
DP+eXpath1,0.463,0.289,0.81,0.69,0.209,0.18,0.9,0.882,0.257,0.246,0.869,0.612,0.5339166666666667
k1+eXpath1,0.538,0.319,0.805,0.709,0.223,0.191,0.895,0.849,0.263,0.229,0.874,0.69,0.54875
AnyBurlAttack+eXpath1,0.457,0.243,0.811,0.691,0.203,0.172,0.887,0.865,0.288,0.209,0.851,0.663,0.5283333333333333
kelpie+eXpath4,0.721,0.5,0.932,0.933,0.455,0.337,0.96,0.968,0.45,0.34,0.957,0.949,0.7085
